source_id,url,page_title,category,program,faculty,priority,dynamic_page,date_sensitive,currency_status,scrape_status,last_checked,approved_dependency_urls,notes
DIU-ADM-001,https://daffodilvarsity.edu.bd/admission,DIU Admissions — Complete Guide for Students,admission_overview,,,high,true,true,current_date_sensitive,active,2026-08-12,https://webbackend.daffodilvarsity.edu.bd/api/v1/public/admission-announce-notice|https://webbackend.daffodilvarsity.edu.bd/api/v1/public/academic/faculties,"Official admission hub; browser access is limited to the two exact read-only backend endpoints declared here"
DIU-ADM-002,https://webbackend.daffodilvarsity.edu.bd/photos/pdf/Admission-Flow-Chart19.pdf,Admission Flow Chart,admission_process,,,high,false,false,stable_reference,active,2026-08-12,,"Repaired 2026-08-12: old URL https://daffodilvarsity.edu.bd/photos/pdf/Admission-Flow-Chart19.pdf returned 404; replaced with the official webbackend URL linked by the current admission page; process reference is stable but embedded contacts may age"
DIU-DOC-001,https://webbackend.daffodilvarsity.edu.bd/photos/pdf/admission-checklist.pdf,Admission Checklist and Documents,required_admission_documents,,,high,false,true,current_date_sensitive,active,2026-08-12,,"Repaired 2026-08-12: old URL https://daffodilvarsity.edu.bd/photos/pdf/admission-checklist.pdf returned 404; replaced with the official webbackend URL linked by the current admission page"
DIU-PROG-001,https://daffodilvarsity.edu.bd/programs,Programs,undergraduate_programs,,,high,true,true,current_date_sensitive,active,2026-08-12,https://webbackend.daffodilvarsity.edu.bd/api/v1/public/academic/programs|https://webbackend.daffodilvarsity.edu.bd/api/v1/public/academic/faculties,"Exact read-only dependencies were identified in the current official page code and live-verified 2026-08-12; current offerings can change"
DIU-PROG-002,https://daffodilvarsity.edu.bd/department/bba/admission,Admission Page,program_specific_admission,BBA,Faculty of Business and Entrepreneurship,medium,true,true,uncertain,manual_review,2026-08-12,,"The current official page calls /api/v1/public/department/bba/admission?page=1, which returned HTTP 400 on 2026-08-12; the official BBA menu endpoint exposed no admission item, so no replacement or failing dependency was approved"
DIU-FEE-001,https://daffodilvarsity.edu.bd/tuition-fees,Tuition Fees for Local Students,tuition_and_fees,,,high,true,true,current_date_sensitive,active,2026-08-12,https://webbackend.daffodilvarsity.edu.bd/api/v1/public/academic/faculties|https://webbackend.daffodilvarsity.edu.bd/api/v1/public/programs?tuition_category_id=1|https://webbackend.daffodilvarsity.edu.bd/api/v1/public/tuition-fees?tuition_category_id=1,"Exact initial GET dependencies from current official code were live-verified 2026-08-12; preserve retrieval date for every volatile value"
DIU-FEE-002,https://daffodilvarsity.edu.bd/int-tuition-fees,Tuition Fees for International Students,international_admission,,,high,true,true,current_date_sensitive,active,2026-08-12,https://webbackend.daffodilvarsity.edu.bd/api/v1/public/academic/faculties|https://webbackend.daffodilvarsity.edu.bd/api/v1/public/programs?tuition_category_id=2|https://webbackend.daffodilvarsity.edu.bd/api/v1/public/tuition-fees?tuition_category_id=2,"Exact initial GET dependencies from current official code were live-verified 2026-08-12; browser-rendered values are volatile"
DIU-SCH-001,https://daffodilvarsity.edu.bd/scholarship/diu-scholarship,DIU Scholarships for Local Students,scholarships,,,high,true,true,current_date_sensitive,active,2026-08-12,https://webbackend.daffodilvarsity.edu.bd/api/v2/public/accordion/scholarship,"Repaired 2026-08-12: old registry URL https://daffodilvarsity.edu.bd/scholarship performs client-side navigation to this canonical article; the exact read-only scholarship endpoint was identified in official code and live-verified"
DIU-WAV-001,https://webbackend.daffodilvarsity.edu.bd/images/download/waiver-policy2025.pdf,Policy of Waiver and Scholarship — Spring 2026,waivers,,,high,false,true,current_date_sensitive,active,2026-08-12,,"Repaired 2026-08-12: old URL https://daffodilvarsity.edu.bd/images/download/waiver-policy2025.pdf returned 404; replaced with the official webbackend file; live PDF is 8 pages and contains Spring 2026 effective-semester rules"
DIU-WAV-002,https://daffodilvarsity.edu.bd/tuition-fee-calculator,Waiver and Tuition Fee Calculator,waivers,,,high,true,true,current_date_sensitive,active,2026-08-12,https://webbackend.daffodilvarsity.edu.bd/api/v1/public/tuition-category|https://webbackend.daffodilvarsity.edu.bd/api/v1/public/gender,"Only the calculator's exact initial read-only metadata endpoints are approved; the calculate POST remains blocked, and rules must come from the policy rather than inferred outputs"
